#####################################################################################################
# _diffrn_sofware                                   Foxtrot 3.5.10-3979
# data-average
# AbsTimeStamps                                     nan
# TimeStamps                                        0.4491591453552246
# gapTime                                           150.0
# step_global_regrid                                nan
# xmax_global_regrid                                nan
# xmin_global_regrid                                nan
# ymax_global_regrid                                nan
# ymin_global_regrid                                nan
# Input parameters:
# img{0}_AzInt_Px_5
# img{1}_AzInt_Px_6
# img{2}_AzInt_Px_7
# img{3}_AzInt_Px_8
# img{4}_AzInt_Px_9
#
#####################################################################################################
q(A-1)                             I(q)Ave_151_e6_10mM_01092AzInt_Px            Sig(q)Ave_151_e6_10mM_01092AzInt_Px          
0.0                                nan                                          nan                                          
0.00014689338978582289             nan                                          nan                                          
0.0002937867793788173              nan                                          nan                                          
0.0004406801685861551              nan                                          nan                                          
0.0005875735572150078              nan                                          nan                                          
0.000734466945072547               nan                                          nan                                          
0.0008813603319659446              nan                                          nan                                          
0.0010282537177023717              nan                                          nan                                          
0.0011751471020890007              nan                                          nan                                          
0.0013220404849330024              nan                                          nan                                          
0.0014689338660415494              nan                                          nan                                          
0.001615827245221813               nan                                          nan                                          
0.0017627206222809652              nan                                          nan                                          
0.0019096139970261761              nan                                          nan                                          
0.00205650736926462                nan                                          nan                                          
0.0022034007388034675              nan                                          nan                                          
0.0023502941054498903              7.872536703088636                            0.0006597561907581461                        
0.00249718746901106                7.67419233959221                             0.000391087643466301                         
0.0026440808292941477              7.41827761997624                             0.0003758696618765027                        
0.0027909741861063277              7.151263386276511                            0.00035010505450587174                       
0.002937867539254769               6.882100196545382                            0.00033202868706643093                       
0.0030847608885466466              6.611073205266138                            0.0003254251422513539                        
0.0032316542337891296              6.348420542795289                            0.00030760326525696867                       
0.003378547574789392               6.082113816414678                            0.0003037351651506846                        
0.003525440911354604               5.811656126523015                            0.0002834302154146166                        
0.0036723342432919393              5.556030390240968                            0.00027601605467577597                       
0.003819227570408569               5.286105031677816                            0.0002725178992545599                        
0.003966120892511665               5.030721356729737                            0.0002430220989674097                        
0.0041130142094083985              4.781456261422217                            0.00022492082132761254                       
0.004259907520905947               4.536326889167168                            0.00021577494806773525                       
0.004406800826811476               4.304138194321963                            0.00020770748377218874                       
0.0045536941269321615              4.074820730789836                            0.00019920719831060152                       
0.004700587421075174               3.852029933776568                            0.00018690505374845018                       
0.004847480709047686               3.6350657552776227                           0.00018204734238058725                       
0.004994373990656874               3.4273458512361694                           0.0001718144049263647                        
0.005141267265709907               3.2285604069701797                           0.0001651062818886223                        
0.005288160534013955               3.0345068621999527                           0.0001570037428956755                        
0.0054350537953761924              2.851979200959756                            0.00015078603886321332                       
0.005581947049603794               2.6771641595178495                           0.00014475135687624956                       
0.005728840296503931               2.509083030384722                            0.00013585848597025434                       
0.005875733535883777               2.3496286285468875                           0.00013175370887492802                       
0.006022626767550501               2.19681195541378                             0.00012371892362168763                       
0.006169519991311281               2.0525067441921117                           0.00011934413478790793                       
0.006316413206973287               1.916215049808585                            0.00011416398758781093                       
0.0064633064143436916              1.7894780056770876                           0.00010882297478643856                       
0.006610199613229671               1.6680663297077771                           0.00010406675310864485                       
0.006757092803438396               1.5532644010972305                           9.857226602706973e-05                        
0.0069039859847770365              1.4455426036448422                           9.457642824592418e-05                        
0.007050879157052775               1.3426128845624439                           8.923471626578745e-05                        
0.007197772320072774               1.2471431895665304                           8.526913867694443e-05                        
0.007344665473644211               1.1582394087614993                           8.273848611339286e-05                        
0.007491558617574263               1.0746306922324766                           7.771182712234646e-05                        
0.007638451751670097               0.9944621210088641                           7.379541733460789e-05                        
0.0077853448757388925              0.9199996534945832                           7.030819514512078e-05                        
0.007932237989587821               0.850531909505016                            6.707802703232886e-05                        
0.008079131093024057               0.7846642507042872                           6.413211418333983e-05                        
0.008226024185854768               0.7236357055977913                           6.075721751890383e-05                        
0.008372917267887137               0.6661409456473569                           5.7949694237821754e-05                       
0.008519810338928333               0.6126437027045679                           5.493155959472572e-05                        
0.008666703398785528               0.5627651100655093                           5.234796909273915e-05                        
0.008813596447265907               0.5154756379242453                           4.9335367690047315e-05                       
0.00896048948417663                0.47152908831988655                          4.705604741980396e-05                        
0.009107382509324882               0.4306175756898236                           4.4364735613900926e-05                       
0.009254275522517827               0.3922882745406784                           4.2064772542808116e-05                       
0.00940116852356265                0.35682932149455426                          3.990913901531525e-05                        
0.00954806151226652                0.3236811244820911                           3.762039765206598e-05                        
0.009694954488436613               0.29360049433511426                          3.546958838762596e-05                        
0.009841847451880105               0.2650008166149617                           3.357212731555082e-05                        
0.009988740402404167               0.23956212528323034                          3.160792394888357e-05                        
0.010135633339815977               0.21561389706063466                          3.0023013137756623e-05                       
0.010282526263922707               0.19313547274464335                          2.7811024998805084e-05                       
0.010429419174531539               0.1725001810163535                           2.634497927674363e-05                        
0.010576312071449642               0.15417048731781352                          2.4368484876620803e-05                       
0.010723204954484193               0.13777791516839627                          2.3140804198890768e-05                       
0.010870097823442365               0.12294052815949177                          2.1760832081499366e-05                       
0.01101699067813134                0.1097117302388283                           2.0329599737799084e-05                       
0.01116388351835829                0.0978466756932794                           1.9156799795665715e-05                       
0.011310776343930387               0.08723406127990811                          1.7760775600414744e-05                       
0.01145766915465481                0.07797880503459567                          1.6881457819354618e-05                       
0.01160456195033874                0.06976645212901188                          1.5816758444180194e-05                       
0.011751454730789345               0.06255593927035237                          1.4822877011799014e-05                       
0.011898347495813807               0.056507634795625414                         1.411703860427178e-05                        
0.012045240245219295               0.05123234031670095                          1.3199729531994205e-05                       
0.012192132978812997               0.04676435544149952                          1.2623556213233768e-05                       
0.012339025696402078               0.04299576269920781                          1.2009105075172765e-05                       
0.012485918397793718               0.03990289909711794                          1.142470197292359e-05                        
0.012632811082795107               0.03739120182944515                          1.1199086342465976e-05                       
0.012779703751213404               0.03533559173269425                          1.0629972794994905e-05                       
0.012926596402855789               0.033745007523342384                         1.0446606275180675e-05                       
0.013073489037529449               0.03247789528492201                          1.0125173047122649e-05                       
