raw data file is: e6_output_full.dat
number of data points: 	168
0.162854	0.02602844	0.0029089400000000005
0.166347	0.02678919	0.0030035400000000003
0.16984	0.02803584	0.0031434400000000004
0.173333	0.028329309999999996	0.00317004
0.176825	0.027087359999999998	0.00304223
0.180318	0.0250174	0.00283076
0.183811	0.02231035	0.0025680800000000004
0.187304	0.01960714	0.00226035
0.190797	0.01597008	0.00192354
0.19429	0.014142839999999999	0.0017327599999999999
0.197783	0.01291805	0.00161881
0.201275	0.0122682	0.0015555100000000002
0.204768	0.01214283	0.00151468
0.208261	0.01278231	0.0015916
0.211754	0.01210764	0.00153819
0.215247	0.01123638	0.00145352
0.21874	0.01064584	0.00137784
0.222232	0.009160060000000001	0.00123809
0.225725	0.00872287	0.0011886700000000002
0.229218	0.007142229999999999	0.00102972
0.232711	0.007313460000000001	0.00103327
0.236204	0.00679017	0.0009740870000000001
0.239697	0.00669784	0.0009738510000000001
0.24319	0.0065578400000000005	0.000977587
0.246682	0.0060618	0.0009041100000000001
0.250175	0.005871949999999999	0.00091086
0.253668	0.005752140000000001	0.0008862520000000001
0.257161	0.0049206599999999994	0.000814471
0.260654	0.004553379999999999	0.00078298
0.264147	0.00422769	0.0007396950000000001
0.267639	0.004142740000000001	0.0007249730000000001
0.271132	0.0039834	0.000714798
0.274625	0.00376942	0.000710858
0.278118	0.0034189000000000003	0.000650837
0.281611	0.0032567399999999997	0.000643327
0.285104	0.0035839899999999996	0.000665159
0.288597	0.00357487	0.000661975
0.292089	0.0031212799999999997	0.000618687
0.295582	0.00288008	0.0005970760000000001
0.299075	0.0030199200000000006	0.000607911
0.302568	0.0027991199999999996	0.000577545
0.306061	0.0026124499999999997	0.000568066
0.309554	0.0022215800000000003	0.000541826
0.313046	0.0023405099999999996	0.000549111
